Tarih,Yemek Adi,Fiyat,Maliyet,Hazirlanma Suresi,Garson
2025-12-11 15:55:38,Adana,140,60,7,Garson Mehmet
2025-12-11 22:47:38,İskender,150,65,8,Garson Ali
2025-12-11 18:26:38,Künefe,80,35,5,Garson Ali
2025-12-10 18:18:38,Su,10,2,1,Garson Ayşe
2025-12-10 15:56:38,Kola,25,15,1,Garson Ayşe
2025-12-10 18:10:38,Su,10,2,1,Garson Mehmet
2025-12-10 13:57:38,Adana,140,60,7,Garson Ali
2025-12-10 17:25:38,Ayran,15,4,1,Garson Ayşe
2025-12-10 13:56:38,Kola,25,15,1,Garson Ali
2025-12-10 14:13:38,Kola,25,15,1,Garson Ali
2025-12-10 12:47:38,Mercimek,40,12,3,Garson Ali
2025-12-10 21:21:38,Su,10,2,1,Garson Ali
2025-12-10 14:24:38,Künefe,80,35,5,Garson Ali
2025-12-10 17:51:38,İskender,150,65,8,Garson Ali
2025-12-10 11:09:38,İskender,150,65,8,Garson Ayşe
2025-12-10 22:30:38,Su,10,2,1,Garson Ali
2025-12-10 18:57:38,İskender,150,65,8,Garson Mehmet
2025-12-10 18:45:38,Beyti,160,70,9,Garson Ali
2025-12-10 13:18:38,Ayran,15,4,1,Garson Ali
2025-12-10 13:07:38,İskender,150,65,8,Garson Ali
2025-12-10 19:13:38,İskender,150,65,8,Garson Ayşe
2025-12-10 13:46:38,Ayran,15,4,1,Garson Ayşe
2025-12-10 20:23:38,Beyti,160,70,9,Garson Mehmet
2025-12-10 16:01:38,Künefe,80,35,5,Garson Ali
2025-12-10 11:38:38,Mercimek,40,12,3,Garson Ali
2025-12-10 15:39:38,Su,10,2,1,Garson Ali
2025-12-10 16:12:38,İskender,150,65,8,Garson Ali
2025-12-10 13:33:38,Su,10,2,1,Garson Ali
2025-12-10 20:36:38,Su,10,2,1,Garson Ali
2025-12-10 23:14:38,Su,10,2,1,Garson Ayşe
2025-12-10 15:05:38,Mercimek,40,12,3,Garson Ali
2025-12-10 17:27:38,Adana,140,60,7,Garson Ali
2025-12-10 16:19:38,Su,10,2,1,Garson Ali
2025-12-10 23:59:38,Su,10,2,1,Garson Mehmet
2025-12-10 14:58:38,İskender,150,65,8,Garson Ali
2025-12-10 13:21:38,Künefe,80,35,5,Garson Ayşe
2025-12-10 14:26:38,Ayran,15,4,1,Garson Ali
2025-12-10 21:41:38,Adana,140,60,7,Garson Ayşe
2025-12-10 22:24:38,Su,10,2,1,Garson Ayşe
2025-12-10 22:14:38,Beyti,160,70,9,Garson Ali
2025-12-10 21:01:38,Adana,140,60,7,Garson Ali
2025-12-09 15:44:38,Beyti,160,70,9,Garson Ayşe
2025-12-09 11:23:38,Beyti,160,70,9,Garson Ayşe
2025-12-09 14:13:38,İskender,150,65,8,Garson Ayşe
2025-12-09 20:57:38,İskender,150,65,8,Garson Ali
2025-12-09 12:56:38,Beyti,160,70,9,Garson Ayşe
2025-12-09 17:39:38,Su,10,2,1,Garson Ali
2025-12-09 14:36:38,Beyti,160,70,9,Garson Ayşe
2025-12-09 21:56:38,Beyti,160,70,9,Garson Ali
2025-12-09 14:04:38,Beyti,160,70,9,Garson Ali
2025-12-09 23:28:38,Künefe,80,35,5,Garson Ali
2025-12-09 12:27:38,Beyti,160,70,9,Garson Ali
2025-12-09 22:31:38,Su,10,2,1,Garson Ayşe
2025-12-09 19:41:38,Adana,140,60,7,Garson Ali
2025-12-09 18:07:38,Beyti,160,70,9,Garson Ali
2025-12-09 11:32:38,Beyti,160,70,9,Garson Ali
2025-12-09 14:28:38,İskender,150,65,8,Garson Ali
2025-12-09 15:00:38,Künefe,80,35,5,Garson Ali
2025-12-09 21:48:38,Kola,25,15,1,Garson Mehmet
2025-12-09 21:26:38,Beyti,160,70,9,Garson Ali
2025-12-09 20:09:38,Su,10,2,1,Garson Zeynep
2025-12-09 16:56:38,Su,10,2,1,Garson Ayşe
2025-12-09 12:43:38,Su,10,2,1,Garson Ali
2025-12-09 22:23:38,İskender,150,65,8,Garson Ayşe
2025-12-09 16:20:38,Ayran,15,4,1,Garson Ayşe
2025-12-09 18:42:38,Ezogelin,40,12,3,Garson Ali
2025-12-08 20:10:38,Künefe,80,35,5,Garson Zeynep
2025-12-08 22:59:38,Beyti,160,70,9,Garson Ayşe
2025-12-08 23:23:38,Su,10,2,1,Garson Ali
2025-12-08 22:34:38,Beyti,160,70,9,Garson Ayşe
2025-12-08 17:31:38,Su,10,2,1,Garson Ayşe
2025-12-08 21:01:38,Su,10,2,1,Garson Ali
2025-12-08 12:49:38,Beyti,160,70,9,Garson Ayşe
2025-12-08 12:45:38,Beyti,160,70,9,Garson Ayşe
2025-12-08 17:13:38,Ezogelin,40,12,3,Garson Ayşe
2025-12-08 17:20:38,İskender,150,65,8,Garson Ali
2025-12-08 21:45:38,İskender,150,65,8,Garson Ali
2025-12-08 23:28:38,Ezogelin,40,12,3,Garson Ayşe
2025-12-08 13:24:38,Beyti,160,70,9,Garson Mehmet
2025-12-08 17:02:38,İskender,150,65,8,Garson Ali
2025-12-08 14:31:38,Künefe,80,35,5,Garson Zeynep
2025-12-08 16:08:38,Ezogelin,40,12,3,Garson Ali
2025-12-08 14:14:38,Su,10,2,1,Garson Ayşe
2025-12-08 16:34:38,Su,10,2,1,Garson Ali
2025-12-08 15:08:38,Mercimek,40,12,3,Garson Mehmet
2025-12-08 12:20:38,Su,10,2,1,Garson Ali
2025-12-08 22:36:38,İskender,150,65,8,Garson Ali
2025-12-08 20:56:38,Beyti,160,70,9,Garson Ali
2025-12-08 17:56:38,Beyti,160,70,9,Garson Mehmet
2025-12-08 16:09:38,İskender,150,65,8,Garson Ali
2025-12-08 16:42:38,Beyti,160,70,9,Garson Mehmet
2025-12-08 13:45:38,Beyti,160,70,9,Garson Ali
2025-12-08 22:08:38,Kola,25,15,1,Garson Ali
2025-12-08 20:06:38,Beyti,160,70,9,Garson Mehmet
2025-12-08 12:00:38,Ayran,15,4,1,Garson Ali
2025-12-08 22:46:38,Beyti,160,70,9,Garson Ali
2025-12-08 18:37:38,Su,10,2,1,Garson Ayşe
2025-12-08 11:57:38,Adana,140,60,7,Garson Ali
2025-12-07 14:14:38,Künefe,80,35,5,Garson Ayşe
2025-12-07 11:49:38,Su,10,2,1,Garson Ali
2025-12-07 12:12:38,İskender,150,65,8,Garson Ali
2025-12-07 16:38:38,İskender,150,65,8,Garson Zeynep
2025-12-07 23:36:38,Beyti,160,70,9,Garson Ali
2025-12-07 18:16:38,Su,10,2,1,Garson Ayşe
2025-12-07 16:12:38,İskender,150,65,8,Garson Mehmet
2025-12-07 16:52:38,Beyti,160,70,9,Garson Ayşe
2025-12-07 12:00:38,İskender,150,65,8,Garson Ali
2025-12-07 22:06:38,Mercimek,40,12,3,Garson Ayşe
2025-12-07 21:11:38,İskender,150,65,8,Garson Ayşe
2025-12-07 20:09:38,İskender,150,65,8,Garson Ayşe
2025-12-07 18:20:38,Beyti,160,70,9,Garson Ayşe
2025-12-07 21:24:38,Künefe,80,35,5,Garson Ayşe
2025-12-07 11:44:38,Mercimek,40,12,3,Garson Ali
2025-12-07 14:59:38,İskender,150,65,8,Garson Ayşe
2025-12-07 17:53:38,İskender,150,65,8,Garson Ayşe
2025-12-07 15:26:38,Su,10,2,1,Garson Ayşe
2025-12-07 13:00:38,İskender,150,65,8,Garson Ayşe
2025-12-07 20:26:38,Adana,140,60,7,Garson Ali
2025-12-07 20:43:38,Su,10,2,1,Garson Ali
2025-12-07 17:07:38,Kola,25,15,1,Garson Ali
2025-12-07 20:42:38,Beyti,160,70,9,Garson Ayşe
2025-12-07 20:27:38,Künefe,80,35,5,Garson Ayşe
2025-12-07 11:38:38,Su,10,2,1,Garson Ayşe
2025-12-07 22:53:38,İskender,150,65,8,Garson Ali
2025-12-07 17:14:38,Beyti,160,70,9,Garson Ali
2025-12-07 18:45:38,Ezogelin,40,12,3,Garson Ali
2025-12-07 17:15:38,İskender,150,65,8,Garson Ayşe
2025-12-07 12:49:38,Beyti,160,70,9,Garson Ali
2025-12-07 14:27:38,Su,10,2,1,Garson Ayşe
2025-12-07 17:09:38,Beyti,160,70,9,Garson Ayşe
2025-12-07 12:25:38,İskender,150,65,8,Garson Zeynep
2025-12-07 15:11:38,Beyti,160,70,9,Garson Mehmet
2025-12-07 14:16:38,Su,10,2,1,Garson Ali
2025-12-07 18:21:38,Beyti,160,70,9,Garson Ali
2025-12-07 13:10:38,Mercimek,40,12,3,Garson Ali
2025-12-07 23:14:38,Su,10,2,1,Garson Ali
2025-12-07 11:26:38,İskender,150,65,8,Garson Ali
2025-12-07 19:58:38,Ezogelin,40,12,3,Garson Ali
2025-12-07 23:39:38,İskender,150,65,8,Garson Ali
2025-12-07 13:07:38,Kola,25,15,1,Garson Ali
2025-12-07 18:00:38,Su,10,2,1,Garson Ayşe
2025-12-07 21:56:38,Beyti,160,70,9,Garson Ali
2025-12-07 23:05:38,Su,10,2,1,Garson Ali
2025-12-07 17:03:38,İskender,150,65,8,Garson Mehmet
2025-12-07 11:04:38,Beyti,160,70,9,Garson Ayşe
2025-12-07 17:17:38,Su,10,2,1,Garson Ali
2025-12-07 12:40:38,Su,10,2,1,Garson Ayşe
2025-12-07 14:00:38,Beyti,160,70,9,Garson Ali
2025-12-07 13:13:38,Beyti,160,70,9,Garson Ali
2025-12-07 22:19:38,Künefe,80,35,5,Garson Ayşe
2025-12-07 19:41:38,Adana,140,60,7,Garson Mehmet
2025-12-07 17:20:38,Ayran,15,4,1,Garson Ayşe
2025-12-07 22:43:38,İskender,150,65,8,Garson Ayşe
2025-12-07 17:33:38,Su,10,2,1,Garson Ali
2025-12-07 15:56:38,Künefe,80,35,5,Garson Mehmet
2025-12-07 18:25:38,Kola,25,15,1,Garson Ali
2025-12-07 18:59:38,İskender,150,65,8,Garson Ali
2025-12-07 15:57:38,Kola,25,15,1,Garson Ayşe
2025-12-07 17:57:38,Ayran,15,4,1,Garson Ayşe
2025-12-07 15:39:38,Ayran,15,4,1,Garson Ayşe
2025-12-07 20:03:38,Beyti,160,70,9,Garson Ali
2025-12-07 11:48:38,Su,10,2,1,Garson Zeynep
2025-12-07 20:57:38,Adana,140,60,7,Garson Ayşe
2025-12-07 12:10:38,Beyti,160,70,9,Garson Ayşe
2025-12-07 22:46:38,Beyti,160,70,9,Garson Ayşe
2025-12-07 19:04:38,Su,10,2,1,Garson Ali
2025-12-07 11:08:38,Ezogelin,40,12,3,Garson Ayşe
2025-12-07 12:19:38,Beyti,160,70,9,Garson Zeynep
2025-12-07 23:30:38,Su,10,2,1,Garson Ali
2025-12-07 23:20:38,Su,10,2,1,Garson Ayşe
2025-12-07 21:55:38,Ayran,15,4,1,Garson Ayşe
2025-12-07 12:50:38,Kola,25,15,1,Garson Ayşe
2025-12-07 22:25:38,İskender,150,65,8,Garson Ali
2025-12-07 20:02:38,İskender,150,65,8,Garson Mehmet
2025-12-07 19:47:38,Beyti,160,70,9,Garson Ali
2025-12-07 12:17:38,Su,10,2,1,Garson Ali
2025-12-07 18:03:38,Ayran,15,4,1,Garson Ali
2025-12-07 19:58:38,Beyti,160,70,9,Garson Ayşe
2025-12-07 18:42:38,Kola,25,15,1,Garson Zeynep
2025-12-07 12:28:38,Adana,140,60,7,Garson Mehmet
2025-12-07 16:22:38,İskender,150,65,8,Garson Ayşe
2025-12-07 21:52:38,Ezogelin,40,12,3,Garson Ali
2025-12-07 12:27:38,Künefe,80,35,5,Garson Ali
2025-12-06 21:02:38,Su,10,2,1,Garson Ali
2025-12-06 14:47:38,Künefe,80,35,5,Garson Ali
2025-12-06 17:21:38,Beyti,160,70,9,Garson Ali
2025-12-06 14:06:38,Su,10,2,1,Garson Ali
2025-12-06 13:02:38,İskender,150,65,8,Garson Ali
2025-12-06 14:05:38,Beyti,160,70,9,Garson Ayşe
2025-12-06 17:48:38,Adana,140,60,7,Garson Ayşe
2025-12-06 23:36:38,Su,10,2,1,Garson Mehmet
2025-12-06 11:15:38,Beyti,160,70,9,Garson Ali
2025-12-06 11:18:38,Ayran,15,4,1,Garson Ali
2025-12-06 14:15:38,Ezogelin,40,12,3,Garson Ayşe
2025-12-06 20:48:38,Adana,140,60,7,Garson Ayşe
2025-12-06 21:04:38,Beyti,160,70,9,Garson Ali
2025-12-06 18:39:38,Künefe,80,35,5,Garson Ali
2025-12-06 16:32:38,İskender,150,65,8,Garson Ali
2025-12-06 15:25:38,İskender,150,65,8,Garson Ayşe
2025-12-06 19:36:38,Adana,140,60,7,Garson Zeynep
2025-12-06 11:47:38,Su,10,2,1,Garson Mehmet
2025-12-06 12:40:38,Beyti,160,70,9,Garson Ayşe
2025-12-06 12:37:38,İskender,150,65,8,Garson Ali
2025-12-06 21:25:38,Beyti,160,70,9,Garson Ayşe
2025-12-06 17:17:38,İskender,150,65,8,Garson Mehmet
2025-12-06 20:22:38,Künefe,80,35,5,Garson Ali
2025-12-06 18:23:38,Ezogelin,40,12,3,Garson Ali
2025-12-06 12:44:38,Beyti,160,70,9,Garson Ali
2025-12-06 19:21:38,Beyti,160,70,9,Garson Ali
2025-12-06 12:13:38,Su,10,2,1,Garson Zeynep
2025-12-06 23:36:38,Beyti,160,70,9,Garson Ayşe
2025-12-06 14:29:38,Su,10,2,1,Garson Ali
2025-12-06 15:06:38,Su,10,2,1,Garson Ali
2025-12-06 15:14:38,Beyti,160,70,9,Garson Ayşe
2025-12-06 21:23:38,Ayran,15,4,1,Garson Ali
2025-12-06 11:11:38,Kola,25,15,1,Garson Ayşe
2025-12-06 23:19:38,Su,10,2,1,Garson Ali
2025-12-06 11:49:38,Ayran,15,4,1,Garson Ali
2025-12-06 16:34:38,İskender,150,65,8,Garson Ali
2025-12-06 13:02:38,İskender,150,65,8,Garson Mehmet
2025-12-06 12:17:38,Adana,140,60,7,Garson Ali
2025-12-06 19:45:38,İskender,150,65,8,Garson Ali
2025-12-06 19:18:38,İskender,150,65,8,Garson Ali
2025-12-06 14:11:38,Adana,140,60,7,Garson Ali
2025-12-06 22:46:38,Su,10,2,1,Garson Ayşe
2025-12-06 11:37:38,Su,10,2,1,Garson Mehmet
2025-12-06 11:00:38,Su,10,2,1,Garson Ali
2025-12-06 15:28:38,İskender,150,65,8,Garson Ayşe
2025-12-06 12:10:38,Kola,25,15,1,Garson Mehmet
2025-12-06 17:48:38,Beyti,160,70,9,Garson Ayşe
2025-12-06 19:14:38,İskender,150,65,8,Garson Ayşe
2025-12-06 23:00:38,Beyti,160,70,9,Garson Ali
2025-12-06 12:29:38,Künefe,80,35,5,Garson Ali
2025-12-06 17:15:38,Ezogelin,40,12,3,Garson Ayşe
2025-12-06 17:55:38,Su,10,2,1,Garson Ayşe
2025-12-06 12:03:38,Ayran,15,4,1,Garson Ali
2025-12-06 14:22:38,Su,10,2,1,Garson Ali
2025-12-06 21:22:38,Kola,25,15,1,Garson Ali
2025-12-06 22:28:38,Kola,25,15,1,Garson Ayşe
2025-12-06 21:56:38,İskender,150,65,8,Garson Ali
2025-12-06 12:52:38,İskender,150,65,8,Garson Ayşe
2025-12-06 21:27:38,İskender,150,65,8,Garson Ayşe
2025-12-06 20:41:38,Beyti,160,70,9,Garson Ali
2025-12-06 17:58:38,Su,10,2,1,Garson Ali
2025-12-06 11:44:38,Kola,25,15,1,Garson Ali
2025-12-06 21:05:38,İskender,150,65,8,Garson Ali
2025-12-06 15:56:38,Su,10,2,1,Garson Ali
2025-12-06 23:50:38,Kola,25,15,1,Garson Ayşe
2025-12-06 18:15:38,Su,10,2,1,Garson Ali
2025-12-06 20:35:38,Su,10,2,1,Garson Ali
2025-12-06 16:07:38,Kola,25,15,1,Garson Ayşe
2025-12-05 19:43:38,Beyti,160,70,9,Garson Mehmet
2025-12-05 14:02:38,Künefe,80,35,5,Garson Ali
2025-12-05 16:51:38,İskender,150,65,8,Garson Ali
2025-12-05 18:19:38,Ezogelin,40,12,3,Garson Zeynep
2025-12-05 20:23:38,Beyti,160,70,9,Garson Ali
2025-12-05 11:23:38,Ayran,15,4,1,Garson Ali
2025-12-05 19:50:38,Adana,140,60,7,Garson Ali
2025-12-05 16:15:38,İskender,150,65,8,Garson Ali
2025-12-05 15:04:38,Künefe,80,35,5,Garson Ali
2025-12-05 13:21:38,Kola,25,15,1,Garson Mehmet
2025-12-05 15:18:38,Beyti,160,70,9,Garson Ali
2025-12-05 12:56:38,İskender,150,65,8,Garson Ayşe
2025-12-05 15:22:38,Kola,25,15,1,Garson Ali
2025-12-05 23:33:38,İskender,150,65,8,Garson Ayşe
2025-12-05 17:38:38,Su,10,2,1,Garson Ali
2025-12-05 21:19:38,İskender,150,65,8,Garson Ali
2025-12-05 16:18:38,İskender,150,65,8,Garson Ayşe
2025-12-05 18:31:38,Beyti,160,70,9,Garson Ali
2025-12-05 12:06:38,Kola,25,15,1,Garson Ali
2025-12-05 16:59:38,İskender,150,65,8,Garson Ali
2025-12-05 21:24:38,İskender,150,65,8,Garson Ali
2025-12-05 22:41:38,Beyti,160,70,9,Garson Ali
2025-12-05 20:59:38,Kola,25,15,1,Garson Ayşe
2025-12-05 23:09:38,İskender,150,65,8,Garson Zeynep
2025-12-05 21:34:38,Beyti,160,70,9,Garson Ali
2025-12-05 23:59:38,Kola,25,15,1,Garson Mehmet
2025-12-05 16:53:38,Beyti,160,70,9,Garson Ayşe
2025-12-05 12:02:38,Su,10,2,1,Garson Ali
2025-12-05 20:10:38,İskender,150,65,8,Garson Ali
2025-12-05 22:27:38,Beyti,160,70,9,Garson Ali
2025-12-05 16:46:38,Su,10,2,1,Garson Ali
2025-12-05 17:34:38,Su,10,2,1,Garson Ayşe
2025-12-05 19:56:38,Adana,140,60,7,Garson Ali
2025-12-05 12:05:38,Kola,25,15,1,Garson Ayşe
2025-12-04 15:15:38,İskender,150,65,8,Garson Ali
2025-12-04 21:08:38,Su,10,2,1,Garson Ayşe
2025-12-04 23:10:38,Su,10,2,1,Garson Ayşe
2025-12-04 21:50:38,Kola,25,15,1,Garson Mehmet
2025-12-04 21:23:38,Beyti,160,70,9,Garson Ali
2025-12-04 20:35:38,Su,10,2,1,Garson Ayşe
2025-12-04 22:26:38,Mercimek,40,12,3,Garson Ali
2025-12-04 17:58:38,Adana,140,60,7,Garson Ali
2025-12-04 16:59:38,İskender,150,65,8,Garson Zeynep
2025-12-04 20:39:38,İskender,150,65,8,Garson Ayşe
2025-12-04 12:36:38,Beyti,160,70,9,Garson Ali
2025-12-04 17:18:38,Adana,140,60,7,Garson Ayşe
2025-12-04 19:03:38,İskender,150,65,8,Garson Ayşe
2025-12-04 11:08:38,Beyti,160,70,9,Garson Ali
2025-12-04 21:35:38,Beyti,160,70,9,Garson Ali
2025-12-04 18:35:38,Su,10,2,1,Garson Ali
2025-12-04 17:25:38,Su,10,2,1,Garson Ayşe
2025-12-04 12:49:38,Su,10,2,1,Garson Ayşe
2025-12-04 20:56:38,Adana,140,60,7,Garson Ayşe
2025-12-04 18:46:38,Beyti,160,70,9,Garson Ali
2025-12-04 14:31:38,Kola,25,15,1,Garson Ayşe
2025-12-03 14:16:38,Su,10,2,1,Garson Mehmet
2025-12-03 19:56:38,İskender,150,65,8,Garson Ali
2025-12-03 20:07:38,İskender,150,65,8,Garson Mehmet
2025-12-03 18:21:38,Beyti,160,70,9,Garson Ali
2025-12-03 13:37:38,Beyti,160,70,9,Garson Ali
2025-12-03 12:05:38,Beyti,160,70,9,Garson Ayşe
2025-12-03 23:46:38,Su,10,2,1,Garson Ali
2025-12-03 21:04:38,Beyti,160,70,9,Garson Ayşe
2025-12-03 19:45:38,İskender,150,65,8,Garson Mehmet
2025-12-03 12:47:38,Adana,140,60,7,Garson Ali
2025-12-03 17:18:38,İskender,150,65,8,Garson Ali
2025-12-03 21:42:38,İskender,150,65,8,Garson Mehmet
2025-12-03 18:36:38,Ayran,15,4,1,Garson Ayşe
2025-12-03 18:54:38,İskender,150,65,8,Garson Mehmet
2025-12-03 16:58:38,Ayran,15,4,1,Garson Mehmet
2025-12-03 12:23:38,Adana,140,60,7,Garson Ali
2025-12-03 12:49:38,Beyti,160,70,9,Garson Ali
2025-12-03 22:26:38,Su,10,2,1,Garson Ali
2025-12-03 23:57:38,Adana,140,60,7,Garson Ali
2025-12-03 18:34:38,Su,10,2,1,Garson Ali
2025-12-03 14:33:38,Ezogelin,40,12,3,Garson Ayşe
2025-12-03 13:07:38,İskender,150,65,8,Garson Ayşe
2025-12-03 11:10:38,Su,10,2,1,Garson Ali
2025-12-03 16:33:38,Kola,25,15,1,Garson Ali
2025-12-03 20:47:38,Su,10,2,1,Garson Ayşe
2025-12-03 13:27:38,İskender,150,65,8,Garson Ayşe
2025-12-03 22:48:38,Su,10,2,1,Garson Ayşe
2025-12-03 21:34:38,Mercimek,40,12,3,Garson Ali
2025-12-03 22:19:38,Künefe,80,35,5,Garson Mehmet
2025-12-03 13:31:38,Su,10,2,1,Garson Ali
2025-12-03 21:36:38,İskender,150,65,8,Garson Ali
2025-12-03 21:54:38,Adana,140,60,7,Garson Ali
2025-12-03 23:48:38,Su,10,2,1,Garson Ayşe
2025-12-03 20:26:38,İskender,150,65,8,Garson Ali
2025-12-02 11:17:38,Beyti,160,70,9,Garson Mehmet
2025-12-02 18:32:38,Adana,140,60,7,Garson Ayşe
2025-12-02 22:00:38,Beyti,160,70,9,Garson Ayşe
2025-12-02 19:35:38,İskender,150,65,8,Garson Ali
2025-12-02 11:03:38,İskender,150,65,8,Garson Ayşe
2025-12-02 18:24:38,Adana,140,60,7,Garson Ali
2025-12-02 15:46:38,Beyti,160,70,9,Garson Zeynep
2025-12-02 21:49:38,Su,10,2,1,Garson Ayşe
2025-12-02 16:03:38,Mercimek,40,12,3,Garson Ali
2025-12-02 18:18:38,Su,10,2,1,Garson Ali
2025-12-02 16:27:38,İskender,150,65,8,Garson Ali
2025-12-02 11:11:38,Su,10,2,1,Garson Ali
2025-12-02 19:01:38,Su,10,2,1,Garson Ali
2025-12-02 18:28:38,Su,10,2,1,Garson Ali
2025-12-02 11:59:38,Kola,25,15,1,Garson Ali
2025-12-02 20:44:38,İskender,150,65,8,Garson Ali
2025-12-02 20:02:38,İskender,150,65,8,Garson Ayşe
2025-12-02 23:29:38,Beyti,160,70,9,Garson Ayşe
2025-12-02 23:29:38,Su,10,2,1,Garson Ayşe
2025-12-02 18:07:38,Beyti,160,70,9,Garson Ayşe
2025-12-02 20:32:38,Beyti,160,70,9,Garson Ali
2025-12-02 12:28:38,Beyti,160,70,9,Garson Ali
2025-12-02 23:50:38,Beyti,160,70,9,Garson Zeynep
2025-12-02 12:27:38,Kola,25,15,1,Garson Ali
2025-12-02 21:49:38,Beyti,160,70,9,Garson Ali
2025-12-02 12:34:38,Kola,25,15,1,Garson Zeynep
2025-12-01 21:32:38,Mercimek,40,12,3,Garson Ayşe
2025-12-01 23:30:38,İskender,150,65,8,Garson Ali
2025-12-01 15:05:38,Künefe,80,35,5,Garson Mehmet
2025-12-01 20:59:38,Su,10,2,1,Garson Ayşe
2025-12-01 17:09:38,Ayran,15,4,1,Garson Ali
2025-12-01 12:13:38,Mercimek,40,12,3,Garson Ali
2025-12-01 23:30:38,Adana,140,60,7,Garson Ayşe
2025-12-01 17:00:38,Su,10,2,1,Garson Ayşe
2025-12-01 13:39:38,Su,10,2,1,Garson Ayşe
2025-12-01 11:53:38,Su,10,2,1,Garson Ayşe
2025-12-01 18:05:38,Su,10,2,1,Garson Ali
2025-12-01 15:24:38,İskender,150,65,8,Garson Ali
2025-12-01 19:42:38,Su,10,2,1,Garson Ayşe
2025-12-01 17:41:38,Su,10,2,1,Garson Ali
2025-12-01 17:45:38,Su,10,2,1,Garson Ali
2025-12-01 14:30:38,Beyti,160,70,9,Garson Ali
2025-12-01 23:01:38,Künefe,80,35,5,Garson Zeynep
2025-12-01 23:27:38,Su,10,2,1,Garson Ali
2025-12-01 19:48:38,Adana,140,60,7,Garson Ayşe
2025-12-01 22:09:38,Beyti,160,70,9,Garson Mehmet
2025-12-01 19:10:38,Beyti,160,70,9,Garson Ali
2025-12-01 12:36:38,Ayran,15,4,1,Garson Ayşe
2025-12-01 22:26:38,Adana,140,60,7,Garson Ayşe
2025-12-01 19:00:38,Kola,25,15,1,Garson Mehmet
2025-12-01 14:42:38,Su,10,2,1,Garson Ali
2025-12-01 21:40:38,Ayran,15,4,1,Garson Ali
2025-12-01 21:23:38,Künefe,80,35,5,Garson Ali
2025-12-01 12:09:38,İskender,150,65,8,Garson Ayşe
2025-12-01 11:33:38,Beyti,160,70,9,Garson Ayşe
2025-12-01 12:57:38,İskender,150,65,8,Garson Ali
2025-12-01 13:06:38,Ezogelin,40,12,3,Garson Ali
2025-12-01 15:50:38,Künefe,80,35,5,Garson Zeynep
2025-12-01 19:31:38,Beyti,160,70,9,Garson Ali
2025-12-01 18:23:38,Beyti,160,70,9,Garson Mehmet
2025-12-01 21:41:38,Su,10,2,1,Garson Ali
2025-12-01 16:27:38,İskender,150,65,8,Garson Ayşe
2025-12-01 17:45:38,Ayran,15,4,1,Garson Ali
2025-12-01 22:26:38,Beyti,160,70,9,Garson Ali
2025-11-30 18:03:38,İskender,150,65,8,Garson Ali
2025-11-30 19:53:38,İskender,150,65,8,Garson Ali
2025-11-30 19:47:38,Beyti,160,70,9,Garson Ayşe
2025-11-30 14:25:38,İskender,150,65,8,Garson Ali
2025-11-30 22:01:38,Ezogelin,40,12,3,Garson Ali
2025-11-30 17:12:38,Beyti,160,70,9,Garson Ali
2025-11-30 22:35:38,İskender,150,65,8,Garson Ayşe
2025-11-30 14:26:38,Su,10,2,1,Garson Ali
